net,length_um
m.u_conv3.u_weights._08905_,491.92µm
m.u_conv3.input_buf\[24\],491.89µm
m.embedding\[35\],491.85µm
net563,491.715µm
net1133,491.195µm
m.u_conv3.u_weights._03508_,490.69µm
net396,490.57µm
net1177,490.38µm
m.u_conv3.input_buf\[63\],490.19µm
m.u_conv3.u_weights._10750_,489.805µm
net428,488.875µm
net66,488.73µm
m.u_conv3.input_buf\[47\],487.81µm
m.u_conv3.u_weights._14808_,487.76µm
net1423,486.165µm
m.u_conv3.u_weights._09147_,486.14µm
net852,485.835µm
net1357,485.585µm
net433,485.515µm
net1468,485.42µm
net851,485.015µm
net996,484.78µm
net630,484.73µm
m.u_conv3.u_weights._07963_,484.28µm
net1356,484.255µm
net1430,484.005µm
net1176,483.455µm
net401,483.36µm
net1260,482.81µm
net945,482.51µm
m.embedding\[23\],482.495µm
m.u_conv3.u_weights._04492_,482.475µm
m.u_conv3.u_weights._08542_,482.46µm
net954,481.19µm
net1329,480.53µm
net857,480.26µm
net1248,480.15µm
net900,479.925µm
net1399,479.63µm
net729,479.495µm
m.u_conv3.u_weights._04273_,479.48µm
net200,478.725µm
net927,477.65µm
m.embedding\[41\],477.64µm
net521,477.48µm
net836,477.36µm
net1018,476.945µm
net431,476.445µm
net965,476.25µm
net995,475.985µm
net1351,475.785µm
net423,475.545µm
net1517,475.075µm
m.u_conv3.u_weights._02864_,475.025µm
net1394,474.71µm
net1254,474.295µm
net1366,473.82µm
net1501,473.805µm
net1242,473.215µm
net594,472.91µm
net1510,472.045µm
m.u_conv3.u_weights._06367_,471.96µm
net534,471.875µm
net1001,471.845µm
m.embedding\[42\],471.445µm
net383,470.93µm
m.u_conv3.u_weights._07691_,470.795µm
m.u_conv3.u_weights._14228_,470.76µm
m.u_conv3.u_weights._06687_,470.525µm
m.u_conv3.u_weights._03422_,470.4µm
m.embedding\[2\],469.54µm
m.u_conv3.u_weights._07057_,468.28µm
m.u_conv3.u_weights._14051_,467.87µm
m.u_conv3.u_weights._15694_,467.27µm
net505,467.25µm
net916,466.92µm
net531,466.4µm
net1020,466.125µm
net940,466.095µm
net432,466.055µm
m.u_conv2._1133_,466µm
net359,465.24µm
net618,465.185µm
net1091,465.18µm
net1071,465.09µm
net1470,465.04µm
m.u_conv3.u_weights._09136_,464.385µm
net1033,464.325µm
net532,464.32µm
net1035,464.055µm
m.u_conv3.u_weights._00481_,463.965µm
m.u_conv3.input_buf\[51\],462.94µm
net1025,462.415µm
net1371,462.32µm
net1519,462.16µm
net1193,461.885µm
net1235,461.795µm
net1046,460.89µm
net1202,458.815µm
m.u_conv3.u_weights._05593_,458.755µm
net380,458.32µm
m.u_conv3.input_buf\[4\],457.655µm
net994,457.54µm
net1485,456.98µm
net877,456.505µm
m.u_conv3.u_weights._09529_,456.39µm
m.u_conv3.input_buf\[48\],456.11µm
net1292,456.015µm
net932,455.595µm
net1302,455.465µm
net843,455.065µm
m.embedding\[34\],454.05µm
m.u_conv3.u_weights._07443_,453.97µm
net1386,453.56µm
m.u_conv3.u_weights._07397_,453.29µm
m.u_conv3.u_weights._13970_,453.075µm
net861,452.63µm
net612,452.425µm
net1308,452.385µm
m.u_conv3.u_weights._02971_,452.355µm
net1480,452.125µm
net920,451.865µm
net1173,451.6µm
net502,451.075µm
net1280,449.545µm
net344,449.175µm
m.u_conv3.u_weights._08789_,449.145µm
net1244,448.895µm
m.u_conv3.u_weights._11841_,448.72µm
net969,448.44µm
net1150,447.36µm
net1175,446.8µm
net1186,446.67µm
net1218,446.655µm
net1346,446.615µm
m.u_conv3.u_weights._00514_,446.205µm
net947,445.815µm
net1442,445.595µm
net1219,445.025µm
m.u_conv3.u_weights._00601_,444.91µm
m.u_conv3.u_weights._08550_,444.88µm
net413,444.04µm
net1433,443.48µm
m.u_conv3.u_weights._08903_,443.44µm
net1474,443.42µm
net408,443.335µm
net619,443.265µm
net1408,443.22µm
net868,443.075µm
net1221,443.06µm
net1486,442.87µm
net1136,442.755µm
net950,442.665µm
net1109,441.975µm
m.embedding\[53\],441.39µm
net392,440.915µm
net1083,440.715µm
net671,440.185µm
net1400,439.835µm
m.u_conv3.u_weights._09451_,438.875µm
m.u_conv3.u_weights._10717_,438.86µm
m.u_conv2._0530_,438.05µm
m.u_conv3.u_weights._14065_,438.01µm
m.u_conv2._1257_,437.77µm
m.u_conv3.u_weights._02929_,437.655µm
net1437,437.51µm
m.u_conv3.u_weights._07690_,437.47µm
net1552,437.47µm
net1278,437.43µm
m.u_conv3.u_weights._08612_,437.305µm
m.embedding\[48\],436.835µm
net1318,436.625µm
net944,436.385µm
