net,length_um
m.u_conv3.u_weights._01396_,5.85µm
m.u_conv3.u_weights._03298_,5.85µm
m.u_conv3.u_weights._06969_,5.85µm
m.u_conv3.u_weights._00028_,5.84µm
m.u_conv2._0022_,5.83µm
m.u_conv2._0039_,5.83µm
m.u_conv2._0074_,5.83µm
m.u_conv2._0096_,5.83µm
m.u_conv2._0120_,5.83µm
m.u_conv2._0126_,5.83µm
m.u_conv2._0129_,5.83µm
m.u_conv2._0158_,5.83µm
m.u_conv2._0174_,5.83µm
m.u_conv2._0183_,5.83µm
m.u_conv2._0224_,5.83µm
m.u_conv2._0407_,5.83µm
m.u_conv3.u_weights._00605_,5.83µm
m.u_mnist_loader._01_,5.83µm
net2229,5.83µm
net2829,5.83µm
net2843,5.83µm
net2850,5.83µm
net2868,5.83µm
net2904,5.83µm
net2943,5.83µm
net3023,5.83µm
m.sram_req_mnist\[18\],5.82µm
m.u_conv1._013_,5.82µm
m.u_conv1._115_,5.82µm
m.u_conv2._1098_,5.82µm
m.u_conv2._1130_,5.82µm
m.u_conv2._1138_,5.82µm
m.u_conv2._1332_,5.82µm
m.u_conv2._1428_,5.82µm
m.u_conv2.u_loader._158_,5.82µm
m.u_conv2.u_loader._248_,5.82µm
m.u_conv2.u_loader._322_,5.82µm
m.u_conv2.u_loader._323_,5.82µm
m.u_conv2.u_weights._360_,5.82µm
m.u_conv3._216_,5.82µm
m.u_conv3.u_weights._00166_,5.82µm
m.u_conv3.u_weights._00444_,5.82µm
m.u_conv3.u_weights._00733_,5.82µm
m.u_conv3.u_weights._01343_,5.82µm
m.u_conv3.u_weights._01684_,5.82µm
m.u_conv3.u_weights._02457_,5.82µm
m.u_conv3.u_weights._02583_,5.82µm
m.u_conv3.u_weights._02837_,5.82µm
m.u_conv3.u_weights._03003_,5.82µm
m.u_conv3.u_weights._03124_,5.82µm
m.u_conv3.u_weights._03345_,5.82µm
m.u_conv3.u_weights._04302_,5.82µm
m.u_conv3.u_weights._04384_,5.82µm
m.u_conv3.u_weights._04399_,5.82µm
m.u_conv3.u_weights._04582_,5.82µm
m.u_conv3.u_weights._05010_,5.82µm
m.u_conv3.u_weights._05065_,5.82µm
m.u_conv3.u_weights._05154_,5.82µm
m.u_conv3.u_weights._05544_,5.82µm
m.u_conv3.u_weights._05904_,5.82µm
m.u_conv3.u_weights._06289_,5.82µm
m.u_conv3.u_weights._06464_,5.82µm
m.u_conv3.u_weights._06817_,5.82µm
m.u_conv3.u_weights._07746_,5.82µm
m.u_conv3.u_weights._07831_,5.82µm
m.u_conv3.u_weights._08966_,5.82µm
m.u_conv3.u_weights._09651_,5.82µm
m.u_conv3.u_weights._12111_,5.82µm
m.u_conv3.u_weights._12143_,5.82µm
m.u_conv3.u_weights._12210_,5.82µm
m.u_conv3.u_weights._12299_,5.82µm
m.u_conv3.u_weights._12638_,5.82µm
m.u_conv3.u_weights._12641_,5.82µm
m.u_conv3.u_weights._14662_,5.82µm
m.u_conv3.u_weights._15173_,5.82µm
m.u_conv3.u_weights._15271_,5.82µm
m.u_conv3.u_weights._15285_,5.82µm
m.u_tree._0522_,5.82µm
m.u_tree._0648_,5.82µm
m.u_tree._0795_,5.82µm
m.u_tree._1559_,5.82µm
net2082,5.82µm
net2722,5.82µm
m.u_conv3.u_weights._03716_,5.815µm
m.u_tree._1302_,5.815µm
m.u_conv3.u_weights._01514_,5.805µm
rst_n,5.79µm
ui_in[0],5.79µm
ui_in[1],5.79µm
ui_in[2],5.79µm
ui_in[3],5.79µm
ui_in[4],5.79µm
ui_in[5],5.79µm
ui_in[6],5.79µm
ui_in[7],5.79µm
uio_in[0],5.79µm
m.sram_req_conv1\[15\],5.77µm
m.sram_req_conv3\[13\],5.77µm
m.u_conv1.sram_req_load\[22\],5.77µm
m.u_conv1.u_weights._133_,5.77µm
m.u_conv2._0218_,5.77µm
m.u_conv2._0252_,5.77µm
m.u_conv2._0411_,5.77µm
m.u_conv2._0496_,5.77µm
m.u_conv2.u_weights._167_,5.77µm
m.u_conv3.u_weights._00056_,5.77µm
m.u_conv3.u_weights._01832_,5.77µm
m.u_conv3.u_weights._03131_,5.77µm
m.u_conv3.u_weights._03570_,5.77µm
m.u_conv3.u_weights._03788_,5.77µm
m.u_conv3.u_weights._05180_,5.77µm
m.u_conv3.u_weights._05240_,5.77µm
m.u_conv3.u_weights._05391_,5.77µm
m.u_conv3.u_weights._05758_,5.77µm
m.u_conv3.u_weights._05795_,5.77µm
m.u_conv3.u_weights._05839_,5.77µm
m.u_conv3.u_weights._05868_,5.77µm
m.u_conv3.u_weights._06428_,5.77µm
m.u_conv3.u_weights._06635_,5.77µm
m.u_conv3.u_weights._07276_,5.77µm
m.u_conv3.u_weights._07541_,5.77µm
m.u_conv3.u_weights._07942_,5.77µm
m.u_conv3.u_weights._08531_,5.77µm
m.u_conv3.u_weights._08793_,5.77µm
m.u_conv3.u_weights._09073_,5.77µm
m.u_conv3.u_weights._11534_,5.77µm
m.u_conv3.u_weights._11546_,5.77µm
m.u_conv3.u_weights._11787_,5.77µm
m.u_conv3.u_weights._12850_,5.77µm
m.u_conv3.u_weights._12998_,5.77µm
m.u_conv3.u_weights._14250_,5.77µm
m.u_conv3.u_weights._14367_,5.77µm
m.u_conv3.u_weights._14654_,5.77µm
m.u_conv3.u_weights._14737_,5.77µm
m.u_conv3.u_weights._14917_,5.77µm
m.u_conv3.u_weights._15132_,5.77µm
m.u_conv3.u_weights._15673_,5.77µm
m.u_tree._0452_,5.77µm
m.u_tree._1176_,5.77µm
m.u_tree._1232_,5.77µm
m.u_tree._1521_,5.77µm
net1938,5.77µm
net2107,5.77µm
net2110,5.77µm
m._047_,5.76µm
m.u_conv2._0666_,5.76µm
m.u_conv2._0874_,5.76µm
m.u_conv2._0900_,5.76µm
m.u_conv2.acc\[0\]\[3\],5.76µm
m.u_conv3.u_weights._00313_,5.76µm
m.u_conv3.u_weights._00319_,5.76µm
m.u_conv3.u_weights._00807_,5.76µm
m.u_conv3.u_weights._01177_,5.76µm
m.u_conv3.u_weights._01265_,5.76µm
m.u_conv3.u_weights._02377_,5.76µm
m.u_conv3.u_weights._02577_,5.76µm
m.u_conv3.u_weights._03085_,5.76µm
m.u_conv3.u_weights._03549_,5.76µm
m.u_conv3.u_weights._04291_,5.76µm
m.u_conv3.u_weights._04300_,5.76µm
m.u_conv3.u_weights._06239_,5.76µm
m.u_conv3.u_weights._06434_,5.76µm
m.u_conv3.u_weights._06577_,5.76µm
m.u_conv3.u_weights._06615_,5.76µm
m.u_conv3.u_weights._06676_,5.76µm
m.u_conv3.u_weights._07339_,5.76µm
m.u_conv3.u_weights._08009_,5.76µm
m.u_conv3.u_weights._09515_,5.76µm
m.u_conv3.u_weights._10245_,5.76µm
m.u_conv3.u_weights._11720_,5.76µm
m.u_conv3.u_weights._12102_,5.76µm
m.u_conv3.u_weights._12112_,5.76µm
m.u_conv3.u_weights._12308_,5.76µm
m.u_conv3.u_weights._13311_,5.76µm
m.u_pool1._210_,5.76µm
m.u_tree._0287_,5.76µm
m.u_tree._1066_,5.76µm
m.u_tree._1314_,5.76µm
net2130,5.76µm
m.u_conv3.u_weights._05156_,5.755µm
m.u_conv3.u_weights._14245_,5.755µm
m.u_tree._1111_,5.72µm
net2039,5.715µm
m.sram_req_pool1\[11\],5.71µm
m.sram_req_pool1\[2\],5.71µm
m.u_conv1.conv_out0\[2\],5.71µm
m.u_conv1.u_loader._211_,5.71µm
m.u_conv1.u_weights._068_,5.71µm
m.u_conv2._1222_,5.71µm
m.u_conv2._1306_,5.71µm
m.u_conv2._1456_,5.71µm
m.u_conv3._047_,5.71µm
m.u_conv3._230_,5.71µm
m.u_conv3.u_weights._00162_,5.71µm
m.u_conv3.u_weights._00288_,5.71µm
m.u_conv3.u_weights._00464_,5.71µm
m.u_conv3.u_weights._00724_,5.71µm
m.u_conv3.u_weights._02867_,5.71µm
m.u_conv3.u_weights._03337_,5.71µm
m.u_conv3.u_weights._03350_,5.71µm
m.u_conv3.u_weights._03417_,5.71µm
m.u_conv3.u_weights._03441_,5.71µm
m.u_conv3.u_weights._04163_,5.71µm
m.u_conv3.u_weights._04293_,5.71µm
m.u_conv3.u_weights._04500_,5.71µm
m.u_conv3.u_weights._05048_,5.71µm
m.u_conv3.u_weights._05477_,5.71µm
m.u_conv3.u_weights._05575_,5.71µm
m.u_conv3.u_weights._05964_,5.71µm
m.u_conv3.u_weights._06926_,5.71µm
m.u_conv3.u_weights._07048_,5.71µm
m.u_conv3.u_weights._07168_,5.71µm
m.u_conv3.u_weights._07598_,5.71µm
m.u_conv3.u_weights._07644_,5.71µm
m.u_conv3.u_weights._07686_,5.71µm
m.u_conv3.u_weights._08556_,5.71µm
m.u_conv3.u_weights._09335_,5.71µm
m.u_conv3.u_weights._10259_,5.71µm
m.u_conv3.u_weights._10415_,5.71µm
m.u_conv3.u_weights._10469_,5.71µm
m.u_conv3.u_weights._10713_,5.71µm
m.u_conv3.u_weights._11462_,5.71µm
m.u_conv3.u_weights._11775_,5.71µm
m.u_conv3.u_weights._12777_,5.71µm
m.u_conv3.u_weights._13965_,5.71µm
m.u_conv3.u_weights._14191_,5.71µm
m.u_conv3.u_weights._15051_,5.71µm
m.u_conv3.u_weights._15294_,5.71µm
m.u_conv3.u_weights._15333_,5.71µm
m.u_conv3.u_weights._15501_,5.71µm
m.u_pool1._025_,5.71µm
m.u_pool1._227_,5.71µm
m.u_tree._0163_,5.71µm
m.u_tree._0518_,5.71µm
m.u_tree._0823_,5.71µm
m.u_tree._0874_,5.71µm
m.u_tree._1454_,5.71µm
net1883,5.71µm
net2760,5.71µm
m.u_conv3.u_weights._07353_,5.705µm
m.u_conv1.u_loader._263_,5.7µm
m.u_conv2._0694_,5.7µm
m.u_conv2._0994_,5.7µm
m.u_conv2.acc\[0\]\[2\],5.7µm
m.u_conv3.u_weights._00266_,5.7µm
m.u_conv3.u_weights._01362_,5.7µm
m.u_conv3.u_weights._04648_,5.7µm
m.u_conv3.u_weights._05153_,5.7µm
m.u_conv3.u_weights._07940_,5.7µm
m.u_conv3.u_weights._07951_,5.7µm
m.u_conv3.u_weights._08051_,5.7µm
m.u_conv3.u_weights._08143_,5.7µm
m.u_conv3.u_weights._09089_,5.7µm
m.u_conv3.u_weights._09475_,5.7µm
m.u_conv3.u_weights._09539_,5.7µm
m.u_conv3.u_weights._13382_,5.7µm
m.u_conv3.u_weights._13990_,5.7µm
m.u_conv3.u_weights._14303_,5.7µm
m.u_conv3.u_weights._14683_,5.7µm
m.u_conv3.u_weights._15305_,5.7µm
m.u_conv3.u_weights._15677_,5.7µm
m.u_pool1._091_,5.7µm
m.u_pool1._101_,5.7µm
m.u_pool2._013_,5.7µm
m.u_tree._0631_,5.7µm
m.u_tree._1126_,5.7µm
m.u_conv3.u_weights._01695_,5.695µm
m.u_conv3.u_weights._08521_,5.695µm
m.u_conv3.u_weights._12595_,5.695µm
m.u_conv3.u_weights._05395_,5.69µm
m.u_conv3.u_weights._05976_,5.69µm
m.u_conv3.u_weights._01656_,5.67µm
m.u_conv3.u_weights._04260_,5.67µm
m.u_conv2.u_weights._187_,5.665µm
m.u_conv3.u_weights._00275_,5.665µm
m.u_conv3.u_weights._12271_,5.665µm
m.u_tree._0265_,5.665µm
m.u_conv1.u_loader._094_,5.66µm
m.u_conv3.u_weights._00437_,5.66µm
m.u_conv3.u_weights._01777_,5.66µm
m.u_conv3.u_weights._02453_,5.66µm
m.u_conv3.u_weights._03179_,5.66µm
m.u_conv3.u_weights._03848_,5.66µm
m.u_conv3.u_weights._04176_,5.66µm
m.u_conv3.u_weights._05965_,5.66µm
m.u_conv3.u_weights._07362_,5.66µm
m.u_conv3.u_weights._07842_,5.66µm
m.u_conv3.u_weights._08449_,5.66µm
m.u_conv3.u_weights._08701_,5.66µm
m.u_conv3.u_weights._09438_,5.66µm
m.u_conv3.u_weights._10173_,5.66µm
m.u_conv3.u_weights._10857_,5.66µm
m.u_conv3.u_weights._10910_,5.66µm
m.u_conv3.u_weights._11574_,5.66µm
m.u_conv3.u_weights._12901_,5.66µm
m.u_conv3.u_weights._13012_,5.66µm
m.u_conv3.u_weights._13248_,5.66µm
m.u_conv3.u_weights._13340_,5.66µm
m.u_conv3.u_weights._13389_,5.66µm
m.u_conv3.u_weights._15254_,5.66µm
m.u_conv3.u_weights._15550_,5.66µm
m.u_conv3.u_weights._15660_,5.66µm
m.u_conv3.u_weights._15714_,5.66µm
m.u_tree._1125_,5.66µm
m.u_conv3.u_weights._10362_,5.655µm
m.u_conv1.u_weights._126_,5.65µm
m.u_conv2._0758_,5.65µm
m.u_conv3.u_weights._01618_,5.65µm
m.u_conv3.u_weights._03357_,5.65µm
m.u_conv3.u_weights._03626_,5.65µm
m.u_conv3.u_weights._03733_,5.65µm
m.u_conv3.u_weights._05978_,5.65µm
m.u_conv3.u_weights._14411_,5.65µm
m.u_tree._1167_,5.645µm
net2142,5.64µm
m.u_conv1._025_,5.64µm
net2146,5.64µm
m.u_conv2._0065_,5.64µm
m.u_conv2._0112_,5.64µm
m.u_conv2._0173_,5.64µm
m.u_conv2._0210_,5.64µm
m.u_conv2._0272_,5.64µm
m.u_conv2._0324_,5.64µm
m.u_conv2._0422_,5.64µm
m.u_conv2._0444_,5.64µm
m.u_conv2._0590_,5.64µm
m.u_conv2._0816_,5.64µm
m.u_conv2._0882_,5.64µm
net2186,5.64µm
net2190,5.64µm
net2199,5.64µm
net2204,5.64µm
m.u_conv2.acc\[15\]\[1\],5.64µm
m.u_conv2.acc\[29\]\[4\],5.64µm
net2217,5.64µm
net2220,5.64µm
m.u_conv2.sram_req_load\[22\],5.64µm
m.u_conv3._013_,5.64µm
m.u_conv3._156_,5.64µm
m.u_conv3.u_weights._01620_,5.64µm
m.u_conv3.u_weights._01952_,5.64µm
m.u_conv3.u_weights._02542_,5.64µm
m.u_conv3.u_weights._02601_,5.64µm
m.u_conv3.u_weights._03042_,5.64µm
m.u_conv3.u_weights._04643_,5.64µm
m.u_conv3.u_weights._04773_,5.64µm
m.u_conv3.u_weights._05238_,5.64µm
m.u_conv3.u_weights._05816_,5.64µm
m.u_conv3.u_weights._07384_,5.64µm
m.u_conv3.u_weights._07744_,5.64µm
m.u_conv3.u_weights._08011_,5.64µm
m.u_conv3.u_weights._08193_,5.64µm
m.u_conv3.u_weights._08203_,5.64µm
m.u_conv3.u_weights._10287_,5.64µm
m.u_conv3.u_weights._10517_,5.64µm
m.u_conv3.u_weights._11031_,5.64µm
m.u_conv3.u_weights._11337_,5.64µm
m.u_conv3.u_weights._12124_,5.64µm
m.u_conv3.u_weights._12971_,5.64µm
m.u_conv3.u_weights._13292_,5.64µm
m.u_pool1._015_,5.64µm
m.u_pool1._122_,5.64µm
m.u_tree._0672_,5.64µm
m.u_tree._1491_,5.64µm
m.u_conv2._1026_,5.635µm
m.u_conv2._1053_,5.635µm
m.u_conv2._1313_,5.635µm
m.u_conv2._1389_,5.635µm
m.u_conv2._1528_,5.635µm
m.u_conv2.acc\[48\]\[3\],5.635µm
m.u_conv2.acc\[9\]\[3\],5.635µm
m.u_conv2.u_loader._002_,5.635µm
m.u_conv2.u_weights._182_,5.635µm
m.u_conv2.u_weights._229_,5.635µm
m.u_conv3.u_weights._00357_,5.635µm
m.u_conv3.u_weights._00642_,5.635µm
m.u_conv3.u_weights._01069_,5.635µm
m.u_conv3.u_weights._01384_,5.635µm
m.u_conv3.u_weights._01717_,5.635µm
m.u_conv3.u_weights._02249_,5.635µm
m.u_conv3.u_weights._02660_,5.635µm
m.u_conv3.u_weights._02905_,5.635µm
m.u_conv3.u_weights._03150_,5.635µm
m.u_conv3.u_weights._03199_,5.635µm
m.u_conv3.u_weights._03475_,5.635µm
m.u_conv3.u_weights._03654_,5.635µm
m.u_conv3.u_weights._03906_,5.635µm
m.u_conv3.u_weights._04636_,5.635µm
m.u_conv3.u_weights._04825_,5.635µm
m.u_conv3.u_weights._05297_,5.635µm
m.u_conv3.u_weights._06030_,5.635µm
m.u_conv3.u_weights._06086_,5.635µm
m.u_conv3.u_weights._06195_,5.635µm
m.u_conv3.u_weights._06791_,5.635µm
m.u_conv3.u_weights._06908_,5.635µm
m.u_conv3.u_weights._06941_,5.635µm
m.u_conv3.u_weights._07172_,5.635µm
m.u_conv3.u_weights._07390_,5.635µm
m.u_conv3.u_weights._07897_,5.635µm
m.u_conv3.u_weights._08259_,5.635µm
m.u_conv3.u_weights._08725_,5.635µm
m.u_conv3.u_weights._09025_,5.635µm
m.u_conv3.u_weights._09393_,5.635µm
m.u_conv3.u_weights._11802_,5.635µm
m.u_conv3.u_weights._11845_,5.635µm
m.u_conv3.u_weights._13194_,5.635µm
m.u_conv3.u_weights._14167_,5.635µm
m.u_conv3.u_weights._15479_,5.635µm
m.u_pool2._129_,5.635µm
net2578,5.635µm
net2688,5.635µm
net2767,5.635µm
net2956,5.635µm
net2993,5.635µm
m.u_conv3.u_weights._10527_,5.63µm
m.u_conv3.u_weights._11587_,5.63µm
m.u_conv3.u_weights._09632_,5.625µm
m.u_conv3.u_weights._01091_,5.62µm
m.u_conv3.u_weights._02878_,5.62µm
m.u_conv3.u_weights._04230_,5.62µm
m.u_conv3.u_weights._06130_,5.62µm
m.u_tree._1258_,5.62µm
net1942,5.62µm
m.u_conv3.u_weights._09867_,5.61µm
m.u_conv3.u_weights._02795_,5.605µm
m.u_conv1.u_loader._112_,5.6µm
m.u_conv3.u_weights._08519_,5.6µm
m.u_conv3.u_weights._14128_,5.6µm
m.u_pool2._097_,5.6µm
m.u_conv3.u_weights._11020_,5.595µm
m.u_conv3.u_weights._12665_,5.595µm
m.u_conv2.acc\[6\]\[2\],5.59µm
m.u_conv3.u_weights._04208_,5.59µm
m.u_conv3.u_weights._11799_,5.59µm
m.u_conv1.u_loader._210_,5.58µm
m.u_conv2._0064_,5.58µm
m.u_conv2._0246_,5.58µm
m.u_conv2.u_loader._107_,5.58µm
m.u_conv3._050_,5.58µm
m.u_conv3.u_weights._04523_,5.58µm
m.u_conv3.u_weights._05556_,5.58µm
m.u_conv3.u_weights._08771_,5.58µm
m.u_pool2._065_,5.58µm
m.u_conv2._1011_,5.575µm
m.u_conv2._0571_,5.565µm
m.u_conv3._129_,5.565µm
m.u_conv3.u_weights._09174_,5.555µm
m.u_conv3.u_weights._04784_,5.545µm
m._022_,5.54µm
m._086_,5.54µm
m.u_conv2._0494_,5.54µm
m.u_conv2._1137_,5.54µm
m.u_conv2._1166_,5.54µm
m.u_conv2._1218_,5.54µm
m.u_conv2._1363_,5.54µm
m.u_conv2._1562_,5.54µm
m.u_conv2.u_loader._114_,5.54µm
m.u_conv3.u_weights._00117_,5.54µm
m.u_conv3.u_weights._01054_,5.54µm
m.u_conv3.u_weights._01086_,5.54µm
m.u_conv3.u_weights._02087_,5.54µm
m.u_conv3.u_weights._02533_,5.54µm
m.u_conv3.u_weights._03097_,5.54µm
m.u_conv3.u_weights._04629_,5.54µm
m.u_conv3.u_weights._08200_,5.54µm
m.u_conv3.u_weights._13795_,5.54µm
m.u_conv3.u_weights._14263_,5.54µm
m.u_conv3.u_weights._15337_,5.54µm
m.u_tree._0812_,5.54µm
net2484,5.54µm
net2502,5.54µm
net2507,5.54µm
net3053,5.54µm
m.u_conv1._190_,5.53µm
m.u_conv1.u_loader._233_,5.53µm
m.u_conv1.u_loader._396_,5.53µm
m.u_conv2._0298_,5.53µm
m.u_conv2._1140_,5.53µm
m.u_conv2._1409_,5.53µm
m.u_conv2.u_loader._004_,5.53µm
m.u_conv2.u_weights._010_,5.53µm
m.u_conv2.u_weights._184_,5.53µm
m.u_conv2.u_weights._402_,5.53µm
m.u_conv3._029_,5.53µm
m.u_conv3._114_,5.53µm
m.u_conv3.u_weights._00256_,5.53µm
m.u_conv3.u_weights._00842_,5.53µm
m.u_conv3.u_weights._00986_,5.53µm
m.u_conv3.u_weights._01761_,5.53µm
m.u_conv3.u_weights._02231_,5.53µm
m.u_conv3.u_weights._03580_,5.53µm
m.u_conv3.u_weights._03852_,5.53µm
m.u_conv3.u_weights._04741_,5.53µm
m.u_conv3.u_weights._04974_,5.53µm
m.u_conv3.u_weights._07075_,5.53µm
m.u_conv3.u_weights._07383_,5.53µm
m.u_conv3.u_weights._07730_,5.53µm
m.u_conv3.u_weights._08213_,5.53µm
m.u_conv3.u_weights._09603_,5.53µm
m.u_conv3.u_weights._10274_,5.53µm
m.u_conv3.u_weights._10323_,5.53µm
m.u_conv3.u_weights._10516_,5.53µm
m.u_conv3.u_weights._11549_,5.53µm
m.u_conv3.u_weights._11914_,5.53µm
m.u_conv3.u_weights._12449_,5.53µm
m.u_conv3.u_weights._13334_,5.53µm
m.u_conv3.u_weights._13667_,5.53µm
m.u_conv3.u_weights._14194_,5.53µm
m.u_conv3.u_weights._15314_,5.53µm
m.u_pool1._012_,5.53µm
m.u_pool1._014_,5.53µm
m.u_tree._0411_,5.53µm
net2072,5.53µm
net2093,5.53µm
m.u_conv3.u_weights._00277_,5.525µm
net2087,5.52µm
m.u_conv3.u_weights._00249_,5.52µm
m.u_conv3.u_weights._02935_,5.52µm
m.u_conv3.u_weights._03047_,5.52µm
m.u_conv3.u_weights._05164_,5.52µm
m.u_conv3.u_weights._06321_,5.52µm
m.u_conv3.u_weights._06466_,5.52µm
m.u_conv3.u_weights._06891_,5.52µm
m.u_conv3.u_weights._07749_,5.52µm
m.u_conv3.u_weights._09045_,5.52µm
m.u_conv3.u_weights._10823_,5.52µm
m.u_conv3.u_weights._12551_,5.52µm
m.u_pool2._094_,5.52µm
net1922,5.52µm
net1929,5.52µm
net1963,5.52µm
net2100,5.52µm
net2115,5.52µm
m.u_conv1.u_loader._145_,5.5µm
m.u_conv3.u_weights._01726_,5.5µm
m.u_conv3.u_weights._04591_,5.5µm
m.u_conv3.u_weights._09229_,5.5µm
net1848,5.49µm
m.u_conv3.u_weights._01034_,5.49µm
net1849,5.49µm
net1850,5.49µm
net1851,5.49µm
net1852,5.49µm
net1853,5.49µm
net1854,5.49µm
net1855,5.49µm
net1856,5.49µm
net1857,5.49µm
net1858,5.49µm
net1859,5.49µm
net1860,5.49µm
net1861,5.49µm
net1862,5.49µm
net1864,5.49µm
net1865,5.49µm
net1866,5.49µm
m.u_conv2._0638_,5.48µm
m.u_conv2._1118_,5.48µm
m.u_conv2._1395_,5.48µm
m.u_conv3.u_weights._11884_,5.475µm
m.sram_req_mnist\[5\],5.47µm
m.u_conv2._1293_,5.47µm
m.u_conv3._207_,5.47µm
m.u_conv3.u_weights._00144_,5.47µm
m.u_conv3.u_weights._02016_,5.47µm
m.u_conv3.u_weights._02887_,5.47µm
m.u_conv3.u_weights._06029_,5.47µm
m.u_conv3.u_weights._07088_,5.47µm
m.u_conv3.u_weights._00762_,5.465µm
m.u_conv3.u_weights._10722_,5.465µm
m.u_conv2._0028_,5.46µm
m.u_conv2._0133_,5.46µm
m.u_conv2._0359_,5.46µm
m.u_conv2._0376_,5.46µm
m.u_conv2._0388_,5.46µm
m.u_conv2._0428_,5.46µm
m.u_conv3.u_weights._02518_,5.46µm
m.u_conv3.u_weights._05270_,5.46µm
m.u_conv3.u_weights._10770_,5.46µm
net2800,5.46µm
net2826,5.46µm
net2839,5.46µm
net2999,5.46µm
m.u_conv3.u_weights._08931_,5.45µm
m.u_conv3.u_weights._00248_,5.445µm
m.u_conv3.u_weights._07982_,5.44µm
m.u_pool2._093_,5.44µm
m.u_conv1.u_weights._019_,5.43µm
m.u_conv2._0676_,5.43µm
m.u_conv3.u_weights._00721_,5.43µm
m.u_conv3.u_weights._02695_,5.43µm
m.u_conv3.u_weights._03215_,5.43µm
m.u_conv3.u_weights._09873_,5.43µm
m.u_conv3.u_weights._12600_,5.43µm
m.u_conv3.u_weights._14422_,5.43µm
m.u_conv3.u_weights._04700_,5.425µm
m.u_conv3.u_weights._12122_,5.425µm
m.u_conv3.u_weights._03202_,5.42µm
m.u_conv3.u_weights._03671_,5.42µm
m.u_conv3.u_weights._06193_,5.42µm
m.u_conv3.u_weights._08625_,5.42µm
m.u_conv2._0478_,5.415µm
m.u_conv3.u_weights._05513_,5.415µm
net2135,5.41µm
m.u_conv3.u_weights._11069_,5.41µm
net1991,5.4µm
m.u_conv1.loader_buffer\[9\],5.4µm
m.u_conv1.u_loader._092_,5.4µm
m.u_conv1.u_loader._161_,5.4µm
m.u_conv1.u_weights._034_,5.4µm
m.u_conv2._0608_,5.4µm
m.u_conv2._0744_,5.4µm
m.u_conv2.loader_buffer\[11\],5.4µm
m.u_conv2.u_weights._037_,5.4µm
m.u_conv2.u_weights._093_,5.4µm
m.u_conv2.u_weights._162_,5.4µm
m.u_conv3.u_weights._00405_,5.4µm
m.u_conv3.u_weights._00436_,5.4µm
m.u_conv3.u_weights._00556_,5.4µm
m.u_conv3.u_weights._00604_,5.4µm
m.u_conv3.u_weights._01943_,5.4µm
m.u_conv3.u_weights._02092_,5.4µm
m.u_conv3.u_weights._02345_,5.4µm
m.u_conv3.u_weights._02527_,5.4µm
m.u_conv3.u_weights._02947_,5.4µm
m.u_conv3.u_weights._03065_,5.4µm
m.u_conv3.u_weights._03837_,5.4µm
m.u_conv3.u_weights._04147_,5.4µm
m.u_conv3.u_weights._04211_,5.4µm
m.u_conv3.u_weights._04320_,5.4µm
m.u_conv3.u_weights._04356_,5.4µm
m.u_conv3.u_weights._05086_,5.4µm
m.u_conv3.u_weights._05385_,5.4µm
m.u_conv3.u_weights._06202_,5.4µm
m.u_conv3.u_weights._06789_,5.4µm
m.u_conv3.u_weights._07435_,5.4µm
m.u_conv3.u_weights._07824_,5.4µm
m.u_conv3.u_weights._07839_,5.4µm
m.u_conv3.u_weights._08354_,5.4µm
m.u_conv3.u_weights._09693_,5.4µm
m.u_conv3.u_weights._09739_,5.4µm
m.u_conv3.u_weights._11265_,5.4µm
m.u_conv3.u_weights._11365_,5.4µm
m.u_conv3.u_weights._11522_,5.4µm
m.u_conv3.u_weights._11598_,5.4µm
m.u_conv3.u_weights._11706_,5.4µm
m.u_conv3.u_weights._12229_,5.4µm
m.u_conv3.u_weights._12404_,5.4µm
m.u_conv3.u_weights._12786_,5.4µm
m.u_conv3.u_weights._12936_,5.4µm
m.u_conv3.u_weights._13015_,5.4µm
m.u_conv3.u_weights._13038_,5.4µm
m.u_conv3.u_weights._13041_,5.4µm
m.u_conv3.u_weights._13782_,5.4µm
m.u_conv3.u_weights._13931_,5.4µm
m.u_conv3.u_weights._14005_,5.4µm
m.u_conv3.u_weights._14142_,5.4µm
m.u_conv3.u_weights._14503_,5.4µm
m.u_conv3.u_weights._15628_,5.4µm
m.u_conv3.u_weights._15645_,5.4µm
m.u_tree._0189_,5.4µm
m.u_tree._0821_,5.4µm
m.u_tree._0934_,5.4µm
m.u_tree._1385_,5.4µm
m.u_tree._1445_,5.4µm
net1888,5.4µm
net1954,5.4µm
net2084,5.4µm
net3068,5.4µm
m.u_conv3.u_weights._02578_,5.385µm
m.u_conv3.u_weights._05146_,5.385µm
m.u_conv3.u_weights._07028_,5.385µm
m.u_conv3.u_weights._07989_,5.385µm
m.u_conv3.u_weights._10395_,5.385µm
m.u_tree._1376_,5.385µm
m.u_conv2.sram_req_load\[25\],5.36µm
m.u_conv2._0010_,5.35µm
m.u_conv2._0036_,5.35µm
m.u_conv2._0047_,5.35µm
m.u_conv2._0083_,5.35µm
m.u_conv2._0101_,5.35µm
m.u_conv2._0171_,5.35µm
m.u_conv2._0178_,5.35µm
m.u_conv2._0194_,5.35µm
m.u_conv2._0229_,5.35µm
m.u_conv2._0296_,5.35µm
m.u_conv2._0315_,5.35µm
m.u_conv2._0364_,5.35µm
m.u_conv2._0439_,5.35µm
m.u_conv2._0454_,5.35µm
net8,5.35µm
